ItemType	Code	Equiv1	Equiv2	*skillID	*CTC	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	UICategory	RunewordCategory1	RunewordCategory2	Restricted
A553	A553			1574	id 26 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A554	A554			1575	id 26 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A555	A555			1576	id 26 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A556	A556			1577	id 26 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A557	A557			1578	id 26 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A558	A558			1579	id 26 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A559	A559			1580	id 26 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A560	A560			1581	id 26 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A561	A561			1582	id 26 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A562	A562			1583	id 26 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A563	A563			1584	id 26 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A564	A564			1585	id 26 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A565	A565			1586	id 26 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A566	A566			1587	id 26 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A567	A567			1588	id 26 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A568	A568			1589	id 26 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A569	A569			1590	id 26 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A570	A570			1591	id 26 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A571	A571			1592	id 26 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A572	A572			1593	id 26 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A573	A573			1594	id 26 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A574	A574			1595	id 26 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A575	A575			1596	id 26 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A576	A576			1597	id 26 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A577	A577			1598	id 26 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A578	A578			1599	id 26 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A579	A579			1600	id 26 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A580	A580			1601	id 26 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A581	A581			1602	id 26 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A582	A582			1603	id 26 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A583	A583			1604	id 26 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A584	A584			1605	id 26 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A585	A585			1606	id 26 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A586	A586			1607	id 26 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A587	A587			1608	id 26 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A588	A588			1609	id 26 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A589	A589			1610	id 26 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A590	A590			1611	id 26 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A591	A591			1612	id 26 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A592	A592			1613	id 26 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A593	A593			1614	id 26 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A594	A594			1615	id 26 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A595	A595			1616	id 26 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A596	A596			1617	id 26 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A597	A597			1618	id 26 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A598	A598			1619	id 26 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A599	A599			1620	id 26 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A600	A600			1621	id 26 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A601	A601			1622	id 26 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A602	A602			1623	id 26 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A603	A603			1624	id 26 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A604	A604			1625	id 26 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A605	A605			1626	id 26 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A606	A606			1627	id 26 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A607	A607			1628	id 26 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A608	A608			1629	id 26 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A609	A609			1630	id 26 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A610	A610			1631	id 26 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A611	A611			1632	id 26 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A612	A612			1633	id 26 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A613	A613			1634	id 26 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A614	A614			1635	id 27 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A615	A615			1636	id 27 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A616	A616			1637	id 27 lev2	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A617	A617			1638	id 27 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A618	A618			1639	id 27 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A619	A619			1640	id 27 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A620	A620			1641	id 27 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A621	A621			1642	id 27 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A622	A622			1643	id 27 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A623	A623			1644	id 27 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A624	A624			1645	id 27 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A625	A625			1646	id 27 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A626	A626			1647	id 27 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A627	A627			1648	id 27 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A628	A628			1649	id 27 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A629	A629			1650	id 27 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A630	A630			1651	id 27 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A631	A631			1652	id 27 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A632	A632			1653	id 27 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A633	A633			1654	id 27 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A634	A634			1655	id 27 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A635	A635			1656	id 27 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A636	A636			1657	id 27 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A637	A637			1658	id 27 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A638	A638			1659	id 27 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A639	A639			1660	id 27 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A640	A640			1661	id 27 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A641	A641			1662	id 27 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A642	A642			1663	id 27 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A643	A643			1664	id 27 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A644	A644			1665	id 27 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A645	A645			1666	id 27 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A646	A646			1667	id 27 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A647	A647			1668	id 27 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A648	A648			1669	id 27 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A649	A649			1670	id 27 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A650	A650			1671	id 27 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A651	A651			1672	id 27 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A652	A652			1673	id 27 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A653	A653			1674	id 27 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A654	A654			1675	id 27 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A655	A655			1676	id 27 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A656	A656			1677	id 27 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A657	A657			1678	id 27 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A658	A658			1679	id 27 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A659	A659			1680	id 27 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A660	A660			1681	id 27 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A661	A661			1682	id 27 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A662	A662			1683	id 27 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A663	A663			1684	id 27 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A664	A664			1685	id 27 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A665	A665			1686	id 27 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A666	A666			1687	id 27 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A667	A667			1688	id 27 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A668	A668			1689	id 27 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A669	A669			1690	id 27 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A670	A670			1691	id 27 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A671	A671			1692	id 27 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A672	A672			1693	id 27 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A673	A673			1694	id 27 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A674	A674			1695	id 27 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A675	A675			1696	id 27 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A676	A676			1697	id 27 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A677	A677			1698	id 27 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A678	A678			1699	id 28 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A679	A679			1700	id 28 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A680	A680			1701	id 28 lev2	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A681	A681			1702	id 28 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A682	A682			1703	id 28 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A683	A683			1704	id 28 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A684	A684			1705	id 28 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A685	A685			1706	id 28 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A686	A686			1707	id 28 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A687	A687			1708	id 28 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A688	A688			1709	id 28 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A689	A689			1710	id 28 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A690	A690			1711	id 28 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A691	A691			1712	id 28 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A692	A692			1713	id 28 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A693	A693			1714	id 28 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A694	A694			1715	id 28 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A695	A695			1716	id 28 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A696	A696			1717	id 28 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A697	A697			1718	id 28 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A698	A698			1719	id 28 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A699	A699			1720	id 28 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A700	A700			1721	id 28 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A701	A701			1722	id 28 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A702	A702			1723	id 28 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A703	A703			1724	id 28 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A704	A704			1725	id 28 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A705	A705			1726	id 28 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A706	A706			1727	id 28 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A707	A707			1728	id 28 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A708	A708			1729	id 28 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A709	A709			1730	id 28 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A710	A710			1731	id 28 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A711	A711			1732	id 28 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A712	A712			1733	id 28 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A713	A713			1734	id 28 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A714	A714			1735	id 28 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A715	A715			1736	id 28 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A716	A716			1737	id 28 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A717	A717			1738	id 28 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A718	A718			1739	id 28 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A719	A719			1740	id 28 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A720	A720			1741	id 28 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A721	A721			1742	id 28 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A722	A722			1743	id 28 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A723	A723			1744	id 28 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A724	A724			1745	id 28 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A725	A725			1746	id 28 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A726	A726			1747	id 28 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A727	A727			1748	id 28 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A728	A728			1749	id 28 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A729	A729			1750	id 28 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A730	A730			1751	id 28 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A731	A731			1752	id 28 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A732	A732			1753	id 28 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A733	A733			1754	id 28 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A734	A734			1755	id 28 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A735	A735			1756	id 28 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A736	A736			1757	id 28 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A737	A737			1758	id 28 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A738	A738			1759	id 28 lev60	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A739	A739			1760	id 28 lev61	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A740	A740			1761	id 28 lev62	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A741	A741			1762	id 28 lev63	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A742	A742			1763	id 29 lev0	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A743	A743			1764	id 29 lev1	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A744	A744			1765	id 29 lev2	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A745	A745			1766	id 29 lev3	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A746	A746			1767	id 29 lev4	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A747	A747			1768	id 29 lev5	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A748	A748			1769	id 29 lev6	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A749	A749			1770	id 29 lev7	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A750	A750			1771	id 29 lev8	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A751	A751			1772	id 29 lev9	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A752	A752			1773	id 29 lev10	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A753	A753			1774	id 29 lev11	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A754	A754			1775	id 29 lev12	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A755	A755			1776	id 29 lev13	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A756	A756			1777	id 29 lev14	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A757	A757			1778	id 29 lev15	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A758	A758			1779	id 29 lev16	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A759	A759			1780	id 29 lev17	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A760	A760			1781	id 29 lev18	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A761	A761			1782	id 29 lev19	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A762	A762			1783	id 29 lev20	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A763	A763			1784	id 29 lev21	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A764	A764			1785	id 29 lev22	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A765	A765			1786	id 29 lev23	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A766	A766			1787	id 29 lev24	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A767	A767			1788	id 29 lev25	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A768	A768			1789	id 29 lev26	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A769	A769			1790	id 29 lev27	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A770	A770			1791	id 29 lev28	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A771	A771			1792	id 29 lev29	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A772	A772			1793	id 29 lev30	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A773	A773			1794	id 29 lev31	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A774	A774			1795	id 29 lev32	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A775	A775			1796	id 29 lev33	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A776	A776			1797	id 29 lev34	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A777	A777			1798	id 29 lev35	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A778	A778			1799	id 29 lev36	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A779	A779			1800	id 29 lev37	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A780	A780			1801	id 29 lev38	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A781	A781			1802	id 29 lev39	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A782	A782			1803	id 29 lev40	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A783	A783			1804	id 29 lev41	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A784	A784			1805	id 29 lev42	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A785	A785			1806	id 29 lev43	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A786	A786			1807	id 29 lev44	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A787	A787			1808	id 29 lev45	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A788	A788			1809	id 29 lev46	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A789	A789			1810	id 29 lev47	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A790	A790			1811	id 29 lev48	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A791	A791			1812	id 29 lev49	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A792	A792			1813	id 29 lev50	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A793	A793			1814	id 29 lev51	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A794	A794			1815	id 29 lev52	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A795	A795			1816	id 29 lev53	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A796	A796			1817	id 29 lev54	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A797	A797			1818	id 29 lev55	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A798	A798			1819	id 29 lev56	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A799	A799			1820	id 29 lev57	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A800	A800			1821	id 29 lev58	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
A801	A801			1822	id 29 lev59	0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0				
